emp_no,first_name,last_name,to_date,title
10001,Georgi,Facello,9999-01-01,Senior Engineer
10004,Chirstian,Koblick,9999-01-01,Senior Engineer
10005,Kyoichi,Maliniak,9999-01-01,Senior Staff
10006,Anneke,Preusig,9999-01-01,Senior Engineer
10009,Sumant,Peac,9999-01-01,Senior Engineer
10018,Kazuhide,Peha,9999-01-01,Senior Engineer
10019,Lillian,Haddadi,9999-01-01,Staff
10020,Mayuko,Warwick,9999-01-01,Engineer
10022,Shahaf,Famili,9999-01-01,Engineer
10023,Bojan,Montemayor,9999-01-01,Engineer
10026,Yongqiao,Berztiss,9999-01-01,Senior Engineer
10035,Alain,Chappelet,9999-01-01,Senior Engineer
10047,Zvonko,Nyanchama,9999-01-01,Senior Engineer
10051,Hidefumi,Caine,9999-01-01,Senior Engineer
10053,Sanjiv,Zschoche,9999-01-01,Senior Staff
10057,Ebbe,Callaway,9999-01-01,Senior Engineer
10058,Berhard,McFarlin,9999-01-01,Senior Staff
10059,Alejandro,McAlpine,9999-01-01,Senior Staff
10063,Gino,Leonhardt,9999-01-01,Senior Engineer
10066,Kwee,Schusler,9999-01-01,Senior Engineer
10067,Claudi,Stavenow,9999-01-01,Senior Engineer
10070,Reuven,Garigliano,9999-01-01,Technique Leader
10072,Hironoby,Sidou,9999-01-01,Senior Engineer
10074,Mokhtar,Bernatsky,9999-01-01,Technique Leader
10076,Erez,Ritzmann,9999-01-01,Senior Engineer
10088,Jungsoon,Syrzycki,9999-01-01,Senior Staff
10091,Amabile,Gomatam,9999-01-01,Senior Engineer
10096,Jayson,Mandell,9999-01-01,Engineer
10097,Remzi,Waschkowski,9999-01-01,Senior Staff
10100,Hironobu,Haraldson,9999-01-01,Senior Staff
10103,Akemi,Birch,9999-01-01,Engineer
10106,Eben,Aingworth,9999-01-01,Senior Engineer
10126,Kayoko,Valtorta,9999-01-01,Senior Staff
10127,Subir,Baja,9999-01-01,Senior Engineer
10129,Armond,Peir,9999-01-01,Technique Leader
10130,Nishit,Casperson,9999-01-01,Senior Engineer
